time,leaf.ca_conc,leaf.d13c,leaf.gstar,A,Acg,Ajg,Apg,cc,ci,ca,rd,lim,gi,gs,gb,g,d13c
        1977,      332.70,f_d13c_lin,f_gstar_f1980,   11.051293,    13.46319,    17.19164,    28.52066,    26.32322,    26.32322,    33.71083,        0.75,           2,         Inf,   0.2425189,         Inf,   0.2425189,    24.38985
        1978,      334.57,f_d13c_lin,f_gstar_f1980,   11.109063,    13.51845,    17.21070,    28.49821,    26.47129,    26.47129,    33.90031,        0.75,           2,         Inf,   0.2424280,         Inf,   0.2424280,    24.38994
        1979,      335.79,f_d13c_lin,f_gstar_f1980,   11.146660,    13.55441,    17.22305,    28.48372,    26.56790,    26.56790,    34.02392,        0.75,           2,         Inf,   0.2423673,         Inf,   0.2423673,    24.39000
        1980,      337.75,f_d13c_lin,f_gstar_f1980,   11.206908,    13.61204,    17.24273,    28.46069,    26.72311,    26.72311,    34.22252,        0.75,           2,         Inf,   0.2422675,         Inf,   0.2422675,    24.39010
        1981,      339.28,f_d13c_lin,f_gstar_f1980,   11.253808,    13.65690,    17.25797,    28.44291,    26.84427,    26.84427,    34.37755,        0.75,           2,         Inf,   0.2421877,         Inf,   0.2421877,    24.39018
        1982,      340.47,f_d13c_lin,f_gstar_f1980,   11.290206,    13.69171,    17.26974,    28.42922,    26.93851,    26.93851,    34.49812,        0.75,           2,         Inf,   0.2421245,         Inf,   0.2421245,    24.39024
        1983,      342.00,f_d13c_lin,f_gstar_f1980,   11.336903,    13.73638,    17.28479,    28.41177,    27.05968,    27.05968,    34.65315,        0.75,           2,         Inf,   0.2420419,         Inf,   0.2420419,    24.39032
        1984,      343.46,f_d13c_lin,f_gstar_f1980,   11.381358,    13.77890,    17.29904,    28.39528,    27.17530,    27.17530,    34.80108,        0.75,           2,         Inf,   0.2419615,         Inf,   0.2419615,    24.39040
        1985,      344.95,f_d13c_lin,f_gstar_f1980,   11.426620,    13.82219,    17.31349,    28.37862,    27.29331,    27.29331,    34.95206,        0.75,           2,         Inf,   0.2418781,         Inf,   0.2418781,    24.39049
        1986,      346.28,f_d13c_lin,f_gstar_f1980,   11.466931,    13.86075,    17.32630,    28.36388,    27.39865,    27.39865,    35.08682,        0.75,           2,         Inf,   0.2418023,         Inf,   0.2418023,    24.39056
        1987,      348.15,f_d13c_lin,f_gstar_f1980,   11.523465,    13.91483,    17.34418,    28.34337,    27.54675,    27.54675,    35.27630,        0.75,           2,         Inf,   0.2416940,         Inf,   0.2416940,    24.39067
        1988,      350.39,f_d13c_lin,f_gstar_f1980,   11.590966,    13.97939,    17.36539,    28.31914,    27.72418,    27.72418,    35.50327,        0.75,           2,         Inf,   0.2415613,         Inf,   0.2415613,    24.39081
        1989,      351.99,f_d13c_lin,f_gstar_f1980,   11.639034,    14.02537,    17.38041,    28.30204,    27.85091,    27.85091,    35.66539,        0.75,           2,         Inf,   0.2414646,         Inf,   0.2414646,    24.39090
        1990,      353.18,f_d13c_lin,f_gstar_f1980,   11.674707,    14.05949,    17.39151,    28.28943,    27.94517,    27.94517,    35.78596,        0.75,           2,         Inf,   0.2413918,         Inf,   0.2413918,    24.39098
        1991,      354.45,f_d13c_lin,f_gstar_f1980,   11.712704,    14.09583,    17.40328,    28.27609,    28.04577,    28.04577,    35.91465,        0.75,           2,         Inf,   0.2413131,         Inf,   0.2413131,    24.39105
        1992,      355.37,f_d13c_lin,f_gstar_f1980,   11.740181,    14.12212,    17.41177,    28.26649,    28.11864,    28.11864,    36.00787,        0.75,           2,         Inf,   0.2412555,         Inf,   0.2412555,    24.39111
        1993,      356.10,f_d13c_lin,f_gstar_f1980,   11.761956,    14.14294,    17.41848,    28.25891,    28.17647,    28.17647,    36.08183,        0.75,           2,         Inf,   0.2412095,         Inf,   0.2412095,    24.39116
        1994,      357.61,f_d13c_lin,f_gstar_f1980,   11.806918,    14.18595,    17.43230,    28.24335,    28.29609,    28.29609,    36.23483,        0.75,           2,         Inf,   0.2411133,         Inf,   0.2411133,    24.39126
        1995,      359.51,f_d13c_lin,f_gstar_f1980,   11.863340,    14.23992,    17.44954,    28.22397,    28.44660,    28.44660,    36.42735,        0.75,           2,         Inf,   0.2409905,         Inf,   0.2409905,    24.39138
        1996,      361.19,f_d13c_lin,f_gstar_f1980,   11.913090,    14.28750,    17.46467,    28.20703,    28.57969,    28.57969,    36.59758,        0.75,           2,         Inf,   0.2408802,         Inf,   0.2408802,    24.39149
        1997,      362.50,f_d13c_lin,f_gstar_f1980,   11.951792,    14.32452,    17.47638,    28.19395,    28.68347,    28.68347,    36.73031,        0.75,           2,         Inf,   0.2407932,         Inf,   0.2407932,    24.39158
        1998,      365.23,f_d13c_lin,f_gstar_f1980,   12.032192,    14.40142,    17.50057,    28.16702,    28.89976,    28.89976,    37.00693,        0.75,           2,         Inf,   0.2406090,         Inf,   0.2406090,    24.39176
        1999,      367.03,f_d13c_lin,f_gstar_f1980,   12.085015,    14.45195,    17.51636,    28.14951,    29.04237,    29.04237,    37.18931,        0.75,           2,         Inf,   0.2404855,         Inf,   0.2404855,    24.39189
        2000,      368.22,f_d13c_lin,f_gstar_f1980,   12.119856,    14.48527,    17.52673,    28.13804,    29.13665,    29.13665,    37.30989,        0.75,           2,         Inf,   0.2404030,         Inf,   0.2404030,    24.39197
        2001,      369.82,f_d13c_lin,f_gstar_f1980,   12.166599,    14.52998,    17.54059,    28.12274,    29.26342,    29.26342,    37.47201,        0.75,           2,         Inf,   0.2402909,         Inf,   0.2402909,    24.39209
        2002,      371.89,f_d13c_lin,f_gstar_f1980,   12.226900,    14.58766,    17.55838,    28.10318,    29.42744,    29.42744,    37.68175,        0.75,           2,         Inf,   0.2401441,         Inf,   0.2401441,    24.39223
        2003,      374.38,f_d13c_lin,f_gstar_f1980,   12.299180,    14.65680,    17.57956,    28.07996,    29.62474,    29.62474,    37.93405,        0.75,           2,         Inf,   0.2399649,         Inf,   0.2399649,    24.39242
        2004,      376.11,f_d13c_lin,f_gstar_f1980,   12.349234,    14.70467,    17.59414,    28.06404,    29.76183,    29.76183,    38.10935,        0.75,           2,         Inf,   0.2398387,         Inf,   0.2398387,    24.39254
        2005,      378.23,f_d13c_lin,f_gstar_f1980,   12.410390,    14.76317,    17.61185,    28.04475,    29.92982,    29.92982,    38.32415,        0.75,           2,         Inf,   0.2396823,         Inf,   0.2396823,    24.39270
        2006,      380.28,f_d13c_lin,f_gstar_f1980,   12.469335,    14.81955,    17.62883,    28.02632,    30.09228,    30.09228,    38.53187,        0.75,           2,         Inf,   0.2395292,         Inf,   0.2395292,    24.39286
        2007,      382.24,f_d13c_lin,f_gstar_f1980,   12.525519,    14.87329,    17.64492,    28.00891,    30.24760,    30.24760,    38.73047,        0.75,           2,         Inf,   0.2393811,         Inf,   0.2393811,    24.39301
        2008,      384.14,f_d13c_lin,f_gstar_f1980,   12.579821,    14.92523,    17.66039,    27.99222,    30.39818,    30.39818,    38.92299,        0.75,           2,         Inf,   0.2392361,         Inf,   0.2392361,    24.39316
        2009,      385.77,f_d13c_lin,f_gstar_f1980,   12.626280,    14.96967,    17.67357,    27.97805,    30.52736,    30.52736,    39.08815,        0.75,           2,         Inf,   0.2391105,         Inf,   0.2391105,    24.39329
        2010,      387.96,f_d13c_lin,f_gstar_f1980,   12.688517,    15.02920,    17.69112,    27.95922,    30.70094,    30.70094,    39.31005,        0.75,           2,         Inf,   0.2389402,         Inf,   0.2389402,    24.39346
        2011,      389.77,f_d13c_lin,f_gstar_f1980,   12.739798,    15.07825,    17.70551,    27.94384,    30.84439,    30.84439,    39.49345,        0.75,           2,         Inf,   0.2387980,         Inf,   0.2387980,    24.39361
        2012,      391.87,f_d13c_lin,f_gstar_f1980,   12.799116,    15.13498,    17.72206,    27.92619,    31.01084,    31.01084,    39.70623,        0.75,           2,         Inf,   0.2386315,         Inf,   0.2386315,    24.39378
        2013,      394.58,f_d13c_lin,f_gstar_f1980,   12.875384,    15.20793,    17.74321,    27.90372,    31.22565,    31.22565,    39.98082,        0.75,           2,         Inf,   0.2384142,         Inf,   0.2384142,    24.39400
        2014,      396.68,f_d13c_lin,f_gstar_f1980,   12.934268,    15.26426,    17.75943,    27.88654,    31.39211,    31.39211,    40.19360,        0.75,           2,         Inf,   0.2382441,         Inf,   0.2382441,    24.39418
        2015,      398.99,f_d13c_lin,f_gstar_f1980,   12.998823,    15.32600,    17.77712,    27.86788,    31.57522,    31.57522,    40.42766,        0.75,           2,         Inf,   0.2380552,         Inf,   0.2380552,    24.39437
        2016,      402.35,f_d13c_lin,f_gstar_f1980,   13.092316,    15.41543,    17.80254,    27.84117,    31.84158,    31.84158,    40.76811,        0.75,           2,         Inf,   0.2377773,         Inf,   0.2377773,    24.39466
        1860,      286.42,f_d13c_classical,f_gstar_f1980,    9.564226,    12.04087,    16.65845,    29.18505,    22.66017,    22.66017,    29.02151,        0.75,           2,         Inf,   0.2437462,         Inf,   0.2437462,    20.70263
        1861,      286.45,f_d13c_classical,f_gstar_f1980,    9.565227,    12.04183,    16.65884,    29.18454,    22.66254,    22.66254,    29.02455,        0.75,           2,         Inf,   0.2437462,         Inf,   0.2437462,    20.70277
        1862,      286.51,f_d13c_classical,f_gstar_f1980,    9.567229,    12.04374,    16.65962,    29.18352,    22.66729,    22.66729,    29.03063,        0.75,           2,         Inf,   0.2437461,         Inf,   0.2437461,    20.70305
        1863,      286.59,f_d13c_classical,f_gstar_f1980,    9.569898,    12.04630,    16.66065,    29.18216,    22.67362,    22.67362,    29.03873,        0.75,           2,         Inf,   0.2437461,         Inf,   0.2437461,    20.70343
        1864,      286.71,f_d13c_classical,f_gstar_f1980,    9.573900,    12.05012,    16.66221,    29.18011,    22.68311,    22.68311,    29.05089,        0.75,           2,         Inf,   0.2437459,         Inf,   0.2437459,    20.70399
        1865,      286.85,f_d13c_classical,f_gstar_f1980,    9.578569,    12.05459,    16.66402,    29.17773,    22.69419,    22.69419,    29.06508,        0.75,           2,         Inf,   0.2437458,         Inf,   0.2437458,    20.70465
        1866,      287.02,f_d13c_classical,f_gstar_f1980,    9.584236,    12.06001,    16.66621,    29.17485,    22.70764,    22.70764,    29.08230,        0.75,           2,         Inf,   0.2437456,         Inf,   0.2437456,    20.70544
        1867,      287.21,f_d13c_classical,f_gstar_f1980,    9.590569,    12.06607,    16.66867,    29.17162,    22.72267,    22.72267,    29.10155,        0.75,           2,         Inf,   0.2437453,         Inf,   0.2437453,    20.70633
        1868,      287.42,f_d13c_classical,f_gstar_f1980,    9.597565,    12.07276,    16.67138,    29.16807,    22.73928,    22.73928,    29.12283,        0.75,           2,         Inf,   0.2437449,         Inf,   0.2437449,    20.70731
        1869,      287.64,f_d13c_classical,f_gstar_f1980,    9.604893,    12.07977,    16.67421,    29.16435,    22.75669,    22.75669,    29.14512,        0.75,           2,         Inf,   0.2437444,         Inf,   0.2437444,    20.70833
        1870,      287.87,f_d13c_classical,f_gstar_f1980,    9.612550,    12.08709,    16.67717,    29.16047,    22.77489,    22.77489,    29.16843,        0.75,           2,         Inf,   0.2437439,         Inf,   0.2437439,    20.70940
